product-image,product-name,product-price
https://product.hstatic.net/1000304920/product/artwork_ali_fd2324fa2bb34d65bcfaa345d7468855_grande.jpg,"ALI HOÀNG DƯƠNG - SAI TÌNH, CHIA TÌNH, CHỮA TÌNH (EP) - ĐĨA CD","300,000₫"
https://product.hstatic.net/1000304920/product/artwork_toctien_damda_875fb934ce674ed494107d69cccf3ed1_grande.jpg,TÓC TIÊN - ĐẬM ĐÀ (SINGLE) - ĐĨA CD,"200,000₫"
https://product.hstatic.net/1000304920/product/hdtd_6_b1493c98986d4366972cd7c60ee635b8_grande.jpg,PHƯỢNG VŨ - DEBUG (EP) - ĐĨA CD,"250,000₫"
https://product.hstatic.net/1000304920/product/ll-cool-j-radio-assassin-vinyl-lp-dia-than_5ebe6784994047ca9ea344a2029e4be9_grande.jpg,LL COOL J - RADIO (ASSASSIN VINYL LP) - ĐĨA THAN,"800,000₫"
https://product.hstatic.net/1000304920/product/rosewood_mua-he-bat-tan_cd_c925634203db4c4c9d8a631b794a2e64_grande.jpg,ROSEWOOD - MÙA HÈ BẤT TẬN - ĐĨA CD,"400,000₫"
https://product.hstatic.net/1000304920/product/duc_tuan-50_album-nhung_bai_ca_khong_quen_2_3d4f5f142fc449eca683988cc43a07de_grande.jpg,ĐỨC TUẤN - 50 (NHỮNG BÀI CA KHÔNG QUÊN 2) - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/viet_thu-giai_dieu_to_quoc-ep_official_cover-1000x1000_790c1d68335c4b109e579416ca5f1c9e_grande.jpg,VIẾT THU - GIAI ĐIỆU TỔ QUỐC (EP) - ĐĨA CD,"200,000₫"
https://product.hstatic.net/1000304920/product/selena-gomez-i-said-i-love-you-first-dia-cd_52531f85172247f2a0c4897824abb8a8_grande.jpeg,SELENA GOMEZ - I SAID I LOVE YOU FIRST - ĐĨA CD,"450,000₫"
https://product.hstatic.net/1000304920/product/miley-cyrus-something-beautiful-dia-cd_17959693880c439c8fe16d4472160d10_grande.jpg,MILEY CYRUS - SOMETHING BEAUTIFUL - ĐĨA CD,"450,000₫ 420,000₫"
https://product.hstatic.net/1000304920/product/miley-cyrus-something-beautiful-vinyl-lp-dia-than_cf0421ca62684373a97d3ed1f5881f97_grande.jpg,MILEY CYRUS - SOMETHING BEAUTIFUL (VINYL LP) - ĐĨA THAN,"1,000,000₫"
https://product.hstatic.net/1000304920/product/miley-cyrus-something-beautiful-exclusive-vinyl-sea-blue-dia-than_49f211b59eee4477932c7b5b1b41577b_grande.jpg,MILEY CYRUS - SOMETHING BEAUTIFUL (SEA BLUE EXCLUSIVE VINYL LP) - ĐĨA THAN,"1,400,000₫"
https://product.hstatic.net/1000304920/product/tate-mcrae-so-close-to-what-vinyl-lp-record-813392_b5db08ad902a4604ac9ce4b035af0ac5_grande.jpg,TATE MCRAE - SO CLOSE TO WHAT (VINYL LP) - ĐĨA THAN,"980,000₫"
https://product.hstatic.net/1000304920/product/sabrina-carpenter-short-n-sweet-deluxe-dia-cd_18eea34853ce4a3ca30eb5c62c5a04ec_grande.jpeg,SABRINA CARPENTER - SHORT N SWEET (DELUXE) - ĐĨA CD,"480,000₫"
https://product.hstatic.net/1000304920/product/lisa-album-lisa-alter-ego-vinyl-ver-39298202370229_0e91f219ace3411c9ccaabbae202703f_grande.jpg,LISA - ALTER EGO (VINYL LP) - ĐĨA THAN,"1,150,000₫"
https://product.hstatic.net/1000304920/product/jennie_ruby-_jennie-audio-only__19802894272_1500x1500_cd_f99b12b47c1a46019248b19fa7020578_grande.png,JENNIE - RUBY (JENNIE ONLY AUDIO ONLY - NO FEATURED ARTISTS) - ĐĨA CD,"420,000₫"
https://product.hstatic.net/1000304920/product/thanh_ha-beginning_a2abcdcca6c84bb8b645f378fa87660e_grande.jpg,THANH HÀ - BEGINNING (DOUBLE ALBUM) - ĐĨA CD,"350,000₫"
https://product.hstatic.net/1000304920/product/phung-khanh-linh-off-the-record-tour-ao-thun_e223c37b6d654fa987acf15ffd53d142_grande.jpg,PHÙNG KHÁNH LINH - OFF THE RECORD TOUR - ÁO THUN,"450,000₫ 350,000₫"
https://product.hstatic.net/1000304920/product/taeyeon-invu-the-3rd-album-bang-cassette_a70a3f404b87481fb7da28975297ffe5_grande.jpg,TAEYEON - INVU - THE 3RD ALBUM - BĂNG CASSETTE,"500,000₫"
